agency Feature Value
NOAA_geodas STD5m 633.1538056731224
NOAA_geodas STD30m 519.7039906978607
NOAA_geodas MED30m 433.3459066450596
NOAA_geodas VGG 352.1536791920662
NOAA_geodas MED5m 282.6839365065098
NOAA_geodas MED10m 239.09298527240753
NOAA_geodas NDP5m 217.61405912041664
NOAA_geodas NDP10m 204.97195374965668
NOAA_geodas D-MED5m/STD5m 201.7242974936962
NOAA_geodas D-MED30m/STD30m 186.97343534231186
NOAA_geodas D-MED10m/STD10m 167.4937592446804
NOAA_geodas kind 0.0
SIO (pred-depth)/depth 8220.234196571633
SIO year 4510.210943961516
SIO kind 2539.235254744068
SIO lat 1182.8444230454043
SIO lon 999.0456030881032
SIO d10 961.4825924551114
SIO D-MED2.5m/STD2.5m 490.88070101849735
SIO depth 434.54540657345206
SIO age 433.60407653823495
SIO NDP2.5m 412.3656206121668
SIO sed 221.16032043471932
SIO rate 218.69853600487113
SIO pred 169.50602705031633
SIO G:T 92.34400144498795
SIO d20 87.85984962806106
SIO NDP30m 86.63327319733799
SIO roughness 67.5051870495081
SIO d60 61.29286213032901
SIO MED2.5m 58.27653903514147
SIO STD30m 47.363826603628695
SIO STD2.5m 25.407995362766087
SIO NDP10m 19.119059605523944
SIO STD5m 18.849375165067613
SIO D-MED30m/STD30m 15.39740182645619
SIO STD10m 14.710207616910338
SIO NDP5m 12.897450428456068
SIO MED30m 8.931932208128273
SIO VGG 7.707571506500244
SIO MED5m 6.638080225326121
SIO D-MED5m/STD5m 4.553288018330932
SIO MED10m 4.0774483336135745
SIO D-MED10m/STD10m 1.6506673023104668
US_multi year 9246.573464766145
US_multi (pred-depth)/depth 8291.542240384966
US_multi lat 6295.4812736436725
US_multi lon 6109.084033258259
US_multi d10 4134.194569975138
US_multi age 3692.510887786746
US_multi sed 3344.819265373051
US_multi rate 1824.6015094146132
US_multi depth 1553.1949358731508
US_multi G:T 1381.174502953887
US_multi NDP2.5m 1272.6613191887736
US_multi pred 1161.0053486041725
US_multi roughness 1063.0036828443408
US_multi STD30m 963.0015881881118
US_multi NDP30m 949.2976006790996
US_multi NDP5m 681.1795018464327
US_multi d20 645.8796338178217
US_multi D-MED2.5m/STD2.5m 547.2294959872961
US_multi STD10m 498.0918383002281
US_multi d60 457.0863176509738
US_multi MED30m 395.43619154393673
US_multi D-MED30m/STD30m 212.56208929419518
US_multi NDP10m 183.3411342650652
US_multi MED5m 165.09755454957485
US_multi STD2.5m 163.57807561010122
US_multi D-MED5m/STD5m 154.79511547088623
US_multi STD5m 99.61664696782827
US_multi MED2.5m 79.93555625528097
US_multi VGG 64.92947740852833
US_multi D-MED10m/STD10m 33.712705589830875
US_multi MED10m 8.361837215721607
US_multi kind 0.0
